City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-14.839999999999975,89,100,8.23,CA,1706971972
1,waitangi,-43.9535,-176.5597,14.340000000000032,77,20,10.96,NZ,1706971973
2,gisborne,-38.6533,178.0042,14.860000000000014,66,36,6.51,NZ,1706971973
3,port elizabeth,-33.918,25.5701,26.720000000000027,81,75,5.66,ZA,1706971974
4,kingston,17.997,-76.7936,29.02000000000004,70,20,2.24,JM,1706971676
5,bamboo flat,11.7,92.7167,28.05000000000001,69,20,2.06,IN,1706971974
6,lycksele,64.5954,18.6735,0.9300000000000068,60,33,5.14,SE,1706971747
7,nar'yan-mar,67.6713,53.087,-12.509999999999991,87,25,6.49,RU,1706971975
8,awjilah,29.1081,21.2869,17.810000000000002,25,0,4.43,LY,1706971975
9,port alfred,-33.5906,26.891,25.660000000000025,83,25,1.34,ZA,1706971975
10,ribeira grande,38.5167,-28.7,18.220000000000027,77,20,6.71,PT,1706971975
11,port-aux-francais,-49.35,70.2167,7.53000000000003,79,24,2.44,TF,1706971976
12,kodiak,57.79,-152.4072,-5.269999999999982,86,100,2.06,US,1706971976
13,adamstown,-25.066,-130.1015,24.480000000000018,77,79,3.04,PN,1706971976
14,hamilton,39.1834,-84.5333,2.0300000000000296,85,6,3.13,US,1706971681
15,port lincoln,-34.7333,135.8667,19.450000000000045,69,0,2.27,AU,1706971977
16,west island,-12.1568,96.8225,27.99000000000001,89,40,4.63,CC,1706971977
17,st. john's,47.5649,-52.7093,-1.509999999999991,87,100,8.05,CA,1706971771
18,vorkuta,67.5,64.0,-18.279999999999973,91,100,4.36,RU,1706971977
19,blackmans bay,-43.0167,147.3167,18.07000000000005,81,100,0.89,AU,1706971977
20,grytviken,-54.2811,-36.5092,6.53000000000003,97,100,4.4,GS,1706971978
21,albany,42.6001,-73.9662,-0.8999999999999773,74,66,1.34,US,1706971779
22,ushuaia,-54.8,-68.3,6.810000000000002,70,75,2.06,AR,1706971978
23,mana,5.6592,-53.7767,29.29000000000002,69,79,3.68,GF,1706971978
24,port saint john's,-31.6229,29.5448,28.420000000000016,73,98,8.95,ZA,1706971978
25,mantua,45.1667,10.7833,16.58000000000004,68,10,0.89,IT,1706971979
